id,name,category,author,difficulty,path
0,The Howler Secret,forensics,{sirmoncef},easy,forensics/The-Howler-Secret
1,The Forbidden Packet,forensics,{sirmoncef},easy,forensics/The-Forbidden-Packet
2,Snape's Document,forensics,{sirmoncef},medium,forensics/Snape's-document
3,The Gitmark,forensics,{sirmoncef},medium,forensics/The-Gitmark
4,Pensieve Dump,forensics,{sirmoncef},hard,forensics/Pensieve-Dump
5,Protego,reverse,4ym3n,,reverse/Protego
6,LuckyDice-v0,reverse,T4k1,easy,reverse/luckydice-v0
7,The Time-Turner’s Secret,reverse,4ym3n,medium,reverse/timeTurnersSecret
8,matrix,reverse,4ym3n,hard,reverse/matrix
9,ELF,reverse,4ym3n,easy,reverse/ELF
10,The Basilisk's Gaze,reverse,4ym3n,warmup,reverse/Basilisks-Gaze
11,LuckyDice-v1,reverse,T4k1,hard,reverse/luckydice-v1
12,HogwartsVault,reverse,4ym3n,medium,reverse/HogwartsVault
13,NotBF,reverse,T4k1,medium,reverse/some-lang
14,ymmm,reverse,4ym3n,medium,reverse/ymm
15,Alohomora,reverse,4ym3n,warmup,reverse/Alohomora
16,Wand Of Airthmancy - Medium,misc,1nitramfs,medium,misc/wand-of-airthmancy
17,Jigsaw Falling Into Place,misc,phues,hard,misc/jigsaw-challenge
18,The Hidden Panel,misc,ilyes_haddad_,easy,misc/the-hidden-panel
19,Ministry Form Checker,devops,1nitramfs,medium,devops/Ministry-Form-Checker
20,Capsula Enchanta,devops,youness,warmup,devops/Capsula-Enchanta
21,The Fidelius Charm,devops,youness,medium,devops/the-fidelius-charm
22,The Vanishing Cabinet,devops,1nitramfs,easy,devops/the-vanishing-cabinet
23,Two_in_one,networking,L4rTiStE,medium,networking/Two_in_one
24,The Lost Artifacts,networking,L4rTiStE,easy,networking/The-Lost-Artifacts
25,The Sorting Hat,networking,L4rTiStE,easy,networking/The-Sorting-Router
26,The Switch of Secrets,networking,L4rTiStE,easy,networking/The-Switch-of-Secrets
27,The forgotten spell,networking,L4rTiStE,easy,networking/The-Forgotten-spell
28,Magic Bonds,networking,L4rTiStE,hard,networking/Magic-Bonds
29,After-Dark Detour,networking,L4rTiStE,medium,networking/After-Dark-Detour
30,Break_a_rule,networking,L4rTiStE,hard,networking/Break-a-rule
31,The Hidden Panel 2,web,ilyes_haddad_,medium,web/the-hidden-panel-2
32,Collision,web,{sirmoncef},easy,web/collision
33,Head Curator,web,1nitramfs,easy,web/head_curator
34,House Of Spells,web,1nitramfs,easy,web/house_of_spells
35,Room of Requirement,web,1nitramfs,hard,web/room_of_requirement
36,Optimum,problem_solving,Tarek,hard,problem_solving/Optimum
37,Circle of Shadows,problem_solving,hxuu,hard,problem_solving/circle-of-shadows
38,Warding Misalignment,problem_solving,hxuu,easy,problem_solving/warding-misalignment
39,The Forbidden Potion,problem_solving,hxuu,medium,problem_solving/the-forbidden-potion
40,The Unseen Curse,problem_solving,hxuu,tough,problem_solving/the-unseen-curse
41, Draught of Living Death page,design,Dahoun Manel,,design/Draught-of-Living-Death-page
42,Lumos,design,Dahoun Manel,warmup,design/Lumos
43,Clone Summoning,design,Mountassar,easy,design/Clone-Summoning
44,Signum Revelio,design,Dahoun Manel,medium,design/Signum-Revelio
45,Reparo,design,Dahoun Manel,easy,design/Reparo
46,Crest of the College,design,Mountassar,hard,design/Crest-of-the-College
47,Expecto Patronum,design,Dahoun Manel,medium,design/Expecto-Patronum
48,Nox–Extinguishes light,design,Dahoun Manel,easy,design/Nox-Extinguishes-light
49, The Writing’s on the Wall,design,Dahoun Manel,warmup,design/The-Writing’s-on-the-Wall
50,The founding fathers,design,Mountassar,tough,design/The-founding-fathers
51,The Packing Charm,design,Dahoun Manel,medium,design/The-Packing-Charm
52,The ArithmaTrap,crypto,Yasser,warmup,crypto/arithma-trap
53,Egg Clue,crypto,Yasser,easy,crypto/Egg-clue
54,The Forbidden Forest,crypto,Yasser,easy,crypto/Forbidden-Forest
55,Wizard’s Chess,crypto,Yasser,medium,crypto/wizard-chess
56,Parseltongue Backdoor,crypto,Yasser,warmup,crypto/Parseltongue-Backdoor
57,The Trace,crypto,Yasser,medium,crypto/trace
58,Chamber of Secrets,crypto,Yasser,medium,crypto/Chamber-of-Secrets
59,vrai sahl,crypto,Yasser,hard,crypto/vrai-sahl
60,Karkaroff's Curse,crypto,Yasser,easy,crypto/Karkaroffs-Curse
61,Primos,problem_solving,Tarek,hard,problem_solving/Primos
62,asm,reverse,4ym3n,warmup,reverse/asm
63,Polyjuice Passwords,reverse,4ym3n,easy,reverse/PolyjuicePasswords
64,Tracking the Tracks,misc,{sirmoncef},medium,misc/Tracking-the-Tracks
65,Calm,misc,ihaveabananaandimafraidtouseit,medium,misc/calm
